<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CADUSD,D,20220711,000000,0.7721800,0.7721800,0.7658000,0.7693400,4198
CADUSD,D,20220712,000000,0.7693600,0.7700900,0.7659000,0.7671900,4220
CADUSD,D,20220713,000000,0.7673900,0.7727200,0.7654000,0.7691300,4191
CADUSD,D,20220714,000000,0.7690200,0.7707700,0.7559000,0.7623000,4200
CADUSD,D,20220715,000000,0.7628600,0.7682400,0.7609000,0.7673000,3818
CADUSD,D,20220717,000000,0.7669000,0.7687200,0.7659200,0.7684000,656
CADUSD,D,20220718,000000,0.7685800,0.7751100,0.7674000,0.7700000,4224
CADUSD,D,20220719,000000,0.7703100,0.7771000,0.7694000,0.7766400,4157
CADUSD,D,20220720,000000,0.7766800,0.7778200,0.7744000,0.7758600,4160
CADUSD,D,20220721,000000,0.7759000,0.7775000,0.7726000,0.7760000,4133
CADUSD,D,20220722,000000,0.7762500,0.7796100,0.7731000,0.7739000,3839
CADUSD,D,20220724,000000,0.7737000,0.7765000,0.7728300,0.7734900,617
CADUSD,D,20220725,000000,0.7734800,0.7790200,0.7721000,0.7777000,4190
CADUSD,D,20220726,000000,0.7781000,0.7801100,0.7747000,0.7765000,4192
CADUSD,D,20220727,000000,0.7766200,0.7806600,0.7742000,0.7800000,4216
CADUSD,D,20220728,000000,0.7798000,0.7813700,0.7768000,0.7807000,4234
CADUSD,D,20220729,000000,0.7807300,0.7818200,0.7775000,0.7811000,3830
CADUSD,D,20220731,000000,0.7811000,0.7820000,0.7787900,0.7799000,636
CADUSD,D,20220801,000000,0.7802600,0.7831600,0.7775000,0.7784100,4178
CADUSD,D,20220802,000000,0.7785800,0.7791000,0.7754000,0.7757600,4213
CADUSD,D,20220803,000000,0.7756000,0.7791600,0.7753000,0.7777800,4194
CADUSD,D,20220804,000000,0.7774000,0.7799900,0.7763000,0.7769400,4205
CADUSD,D,20220805,000000,0.7769300,0.7772800,0.7699000,0.7725000,3764
CADUSD,D,20220807,000000,0.7729000,0.7740000,0.7715400,0.7721000,738
CADUSD,D,20220808,000000,0.7724300,0.7787800,0.7718000,0.7774000,4084
CADUSD,D,20220809,000000,0.7776800,0.7784800,0.7748000,0.7756000,4075
CADUSD,D,20220810,000000,0.7759800,0.7841200,0.7751000,0.7827000,4049
CADUSD,D,20220811,000000,0.7824000,0.7855500,0.7813000,0.7831000,4084
CADUSD,D,20220812,000000,0.7834100,0.7848700,0.7807000,0.7824000,3681
CADUSD,D,20220814,000000,0.7824000,0.7830000,0.7804200,0.7823200,755
CADUSD,D,20220815,000000,0.7823300,0.7828100,0.7728000,0.7747800,4086
CADUSD,D,20220816,000000,0.7746100,0.7791900,0.7732000,0.7783200,4081
CADUSD,D,20220817,000000,0.7780000,0.7794500,0.7726000,0.7739800,4096
CADUSD,D,20220818,000000,0.7736000,0.7762600,0.7709000,0.7722200,4052
CADUSD,D,20220819,000000,0.7722400,0.7723300,0.7683000,0.7693000,3709
CADUSD,D,20220821,000000,0.7691000,0.7696000,0.7682000,0.7688000,728
CADUSD,D,20220822,000000,0.7690500,0.7707200,0.7652000,0.7659000,4099
CADUSD,D,20220823,000000,0.7662900,0.7730900,0.7651000,0.7712000,4137
CADUSD,D,20220824,000000,0.7715000,0.7717000,0.7678000,0.7705000,4139
