<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NOKUSD,D,20220711,000000,0.0985290,0.0990000,0.0970360,0.0979200,3525
NOKUSD,D,20220712,000000,0.0979060,0.0980700,0.0971530,0.0973160,3493
NOKUSD,D,20220713,000000,0.0973050,0.0986600,0.0969460,0.0975400,3473
NOKUSD,D,20220714,000000,0.0975070,0.0980730,0.0963720,0.0977100,3507
NOKUSD,D,20220715,000000,0.0974790,0.0985270,0.0970070,0.0983100,3159
NOKUSD,D,20220717,000000,0.0983100,0.0984100,0.0971470,0.0984100,157
NOKUSD,D,20220718,000000,0.0984000,0.0996680,0.0974610,0.0990400,3411
NOKUSD,D,20220719,000000,0.0989150,0.1010720,0.0987100,0.1007960,3477
NOKUSD,D,20220720,000000,0.1007910,0.1012200,0.0996410,0.1000930,3501
NOKUSD,D,20220721,000000,0.1000250,0.1011300,0.0994090,0.1004800,3440
NOKUSD,D,20220722,000000,0.1003670,0.1011930,0.0994680,0.1007400,3142
NOKUSD,D,20220724,000000,0.1007170,0.1007400,0.0997990,0.1003940,105
NOKUSD,D,20220725,000000,0.1004070,0.1017390,0.1001480,0.1014570,3439
NOKUSD,D,20220726,000000,0.1014190,0.1020800,0.1000230,0.1009290,3533
NOKUSD,D,20220727,000000,0.1009270,0.1029200,0.1008850,0.1024920,3486
NOKUSD,D,20220728,000000,0.1024630,0.1032100,0.1017170,0.1023260,3526
NOKUSD,D,20220729,000000,0.1024270,0.1035500,0.1021500,0.1033900,3138
NOKUSD,D,20220731,000000,0.1033900,0.1037100,0.1007690,0.1031800,434
NOKUSD,D,20220801,000000,0.1029340,0.1042720,0.1029330,0.1035850,3491
NOKUSD,D,20220802,000000,0.1036480,0.1039700,0.1019870,0.1019950,3515
NOKUSD,D,20220803,000000,0.1019920,0.1032840,0.1019870,0.1027690,3502
NOKUSD,D,20220804,000000,0.1025950,0.1032200,0.1020710,0.1026520,3464
NOKUSD,D,20220805,000000,0.1025560,0.1027200,0.1012580,0.1019900,3152
NOKUSD,D,20220807,000000,0.1017500,0.1019900,0.1008250,0.1017800,438
NOKUSD,D,20220808,000000,0.1016480,0.1030300,0.1014480,0.1026500,3442
NOKUSD,D,20220809,000000,0.1024670,0.1031500,0.1021780,0.1027000,3470
NOKUSD,D,20220810,000000,0.1025460,0.1053100,0.1024800,0.1048980,3492
NOKUSD,D,20220811,000000,0.1048100,0.1056270,0.1042910,0.1049200,3497
NOKUSD,D,20220812,000000,0.1047890,0.1051500,0.1037980,0.1044500,3156
NOKUSD,D,20220814,000000,0.1044600,0.1046600,0.1033130,0.1039800,426
NOKUSD,D,20220815,000000,0.1039770,0.1045000,0.1023760,0.1027670,3425
NOKUSD,D,20220816,000000,0.1026950,0.1035200,0.1024940,0.1032190,3504
NOKUSD,D,20220817,000000,0.1032430,0.1036200,0.1019000,0.1027410,3434
NOKUSD,D,20220818,000000,0.1028520,0.1036310,0.1016990,0.1026000,3461
NOKUSD,D,20220819,000000,0.1025100,0.1027000,0.1016260,0.1018600,3107
NOKUSD,D,20220821,000000,0.1018600,0.1019700,0.1004330,0.1017900,366
NOKUSD,D,20220822,000000,0.1016090,0.1023760,0.1009910,0.1017400,3434
NOKUSD,D,20220823,000000,0.1015640,0.1032400,0.1010270,0.1029100,3485
NOKUSD,D,20220824,000000,0.1027870,0.1035480,0.1023850,0.1030200,3419
NOKUSD,D,20220825,000000,0.1029050,0.1040440,0.1026220,0.1033900,3497
NOKUSD,D,20220826,000000,0.1032340,0.1042950,0.1020890,0.1023100,3162
NOKUSD,D,20220828,000000,0.1026600,0.1026600,0.1007090,0.1019600,509
NOKUSD,D,20220829,000000,0.1018530,0.1028200,0.1010980,0.1026700,3516
NOKUSD,D,20220830,000000,0.1025310,0.1031300,0.1012990,0.1017680,3522
NOKUSD,D,20220831,000000,0.1016400,0.1024500,0.1001140,0.1004000,3526
NOKUSD,D,20220901,000000,0.1002890,0.1003000,0.0990180,0.0994700,3489
NOKUSD,D,20220902,000000,0.0992800,0.1005700,0.0991470,0.0997600,3164
NOKUSD,D,20220904,000000,0.0997600,0.0998200,0.0981130,0.0992580,538
NOKUSD,D,20220905,000000,0.0992600,0.1005700,0.0991370,0.1003410,3408
NOKUSD,D,20220906,000000,0.1003590,0.1008600,0.0991890,0.0994150,3472
NOKUSD,D,20220907,000000,0.0994190,0.1001800,0.0990170,0.0996930,3512
NOKUSD,D,20220908,000000,0.0996960,0.1001480,0.0984920,0.0995580,3465
NOKUSD,D,20220909,000000,0.0995490,0.1015600,0.0994370,0.1007300,3153
NOKUSD,D,20220911,000000,0.1009100,0.1014100,0.0999530,0.1012100,626
NOKUSD,D,20220912,000000,0.1010910,0.1021900,0.1007000,0.1015900,3503
NOKUSD,D,20220913,000000,0.1013280,0.1019200,0.0984740,0.0988700,3519
NOKUSD,D,20220914,000000,0.0987790,0.0994700,0.0984730,0.0990600,3469
NOKUSD,D,20220915,000000,0.0989490,0.0991060,0.0977520,0.0981200,3452
NOKUSD,D,20220916,000000,0.0980980,0.0984500,0.0971480,0.0981200,3161
NOKUSD,D,20220918,000000,0.0980800,0.0981700,0.0971340,0.0980310,448
NOKUSD,D,20220919,000000,0.0980580,0.0981900,0.0967230,0.0978780,3468
NOKUSD,D,20220920,000000,0.0978770,0.0981700,0.0959070,0.0966310,3495
NOKUSD,D,20220921,000000,0.0966320,0.0974700,0.0956820,0.0963300,3503
NOKUSD,D,20220922,000000,0.0962910,0.0971500,0.0956340,0.0960260,3505
NOKUSD,D,20220923,000000,0.0960350,0.0962300,0.0937650,0.0942900,3167
NOKUSD,D,20220925,000000,0.0942900,0.0945600,0.0934840,0.0942800,497
NOKUSD,D,20220926,000000,0.0941430,0.0943400,0.0919690,0.0926400,3483
NOKUSD,D,20220927,000000,0.0925910,0.0935000,0.0920250,0.0924320,3516
NOKUSD,D,20220928,000000,0.0924180,0.0938600,0.0907710,0.0934100,3464
NOKUSD,D,20220929,000000,0.0933260,0.0937800,0.0918880,0.0936000,3498
NOKUSD,D,20220930,000000,0.0934900,0.0939600,0.0915880,0.0918400,3175
