<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBUSD,D,20220711,000000,0.0153680,0.0164800,0.0153450,0.0153450,184
RUBUSD,D,20220712,000000,0.0168450,0.0170760,0.0159600,0.0170760,160
RUBUSD,D,20220713,000000,0.0170760,0.0171200,0.0160950,0.0170610,197
RUBUSD,D,20220714,000000,0.0170610,0.0171200,0.0164890,0.0171190,178
RUBUSD,D,20220715,000000,0.0171190,0.0176590,0.0166960,0.0176590,190
RUBUSD,D,20220717,000000,0.0179700,0.0179700,0.0179700,0.0179700,38
RUBUSD,D,20220718,000000,0.0179700,0.0179700,0.0169740,0.0170540,189
RUBUSD,D,20220719,000000,0.0176980,0.0181340,0.0172760,0.0176590,174
RUBUSD,D,20220720,000000,0.0176660,0.0182670,0.0175170,0.0182160,165
RUBUSD,D,20220721,000000,0.0181020,0.0181860,0.0167670,0.0167670,172
RUBUSD,D,20220722,000000,0.0172010,0.0178170,0.0168380,0.0171640,173
RUBUSD,D,20220724,000000,0.0171640,0.0171640,0.0171360,0.0171360,28
RUBUSD,D,20220725,000000,0.0171420,0.0174650,0.0167100,0.0170540,214
RUBUSD,D,20220726,000000,0.0176510,0.0176510,0.0163030,0.0165960,184
RUBUSD,D,20220727,000000,0.0173060,0.0173060,0.0161940,0.0168010,190
RUBUSD,D,20220728,000000,0.0168010,0.0168020,0.0158960,0.0159600,207
RUBUSD,D,20220729,000000,0.0164010,0.0164680,0.0156630,0.0160240,171
RUBUSD,D,20220731,000000,0.0160240,0.0166540,0.0160240,0.0160240,16
RUBUSD,D,20220801,000000,0.0161740,0.0165670,0.0156460,0.0160440,177
RUBUSD,D,20220802,000000,0.0159920,0.0167460,0.0159920,0.0167460,219
RUBUSD,D,20220803,000000,0.0167460,0.0167460,0.0161540,0.0161910,197
RUBUSD,D,20220804,000000,0.0162870,0.0166060,0.0160890,0.0161740,188
RUBUSD,D,20220805,000000,0.0162530,0.0165920,0.0162530,0.0164820,176
RUBUSD,D,20220807,000000,0.0163530,0.0164820,0.0163530,0.0164820,34
RUBUSD,D,20220808,000000,0.0164820,0.0165920,0.0160240,0.0161220,208
RUBUSD,D,20220809,000000,0.0161310,0.0165660,0.0160890,0.0164960,198
RUBUSD,D,20220810,000000,0.0164960,0.0165640,0.0161540,0.0162200,191
RUBUSD,D,20220811,000000,0.0165090,0.0165090,0.0161940,0.0164550,200
RUBUSD,D,20220812,000000,0.0164550,0.0164890,0.0160370,0.0162200,167
RUBUSD,D,20220814,000000,0.0164140,0.0164140,0.0162200,0.0164140,30
RUBUSD,D,20220815,000000,0.0161540,0.0164550,0.0160500,0.0162200,175
RUBUSD,D,20220816,000000,0.0162200,0.0166200,0.0161590,0.0162200,187
RUBUSD,D,20220817,000000,0.0162890,0.0166000,0.0162870,0.0164890,171
RUBUSD,D,20220818,000000,0.0165030,0.0168450,0.0163530,0.0166270,169
RUBUSD,D,20220819,000000,0.0166640,0.0169810,0.0166640,0.0167670,184
RUBUSD,D,20220821,000000,0.0167670,0.0167740,0.0167670,0.0167740,27
RUBUSD,D,20220822,000000,0.0167740,0.0171200,0.0165400,0.0165920,175
RUBUSD,D,20220823,000000,0.0165930,0.0168520,0.0164870,0.0165580,174
RUBUSD,D,20220824,000000,0.0165630,0.0166800,0.0164970,0.0166750,233
RUBUSD,D,20220825,000000,0.0166750,0.0168590,0.0164010,0.0165780,216
RUBUSD,D,20220826,000000,0.0165780,0.0166960,0.0163800,0.0165440,190
RUBUSD,D,20220828,000000,0.0165440,0.0166540,0.0165440,0.0165440,22
RUBUSD,D,20220829,000000,0.0165440,0.0166540,0.0159600,0.0161540,196
RUBUSD,D,20220830,000000,0.0161540,0.0166540,0.0161540,0.0166540,209
RUBUSD,D,20220831,000000,0.0166270,0.0167670,0.0163200,0.0165920,208
RUBUSD,D,20220901,000000,0.0165920,0.0168600,0.0163760,0.0165690,234
RUBUSD,D,20220902,000000,0.0165690,0.0168310,0.0163470,0.0165510,212
RUBUSD,D,20220904,000000,0.0165490,0.0165590,0.0163530,0.0165590,30
RUBUSD,D,20220905,000000,0.0165590,0.0165690,0.0158620,0.0164810,207
RUBUSD,D,20220906,000000,0.0164810,0.0164810,0.0159920,0.0162800,231
RUBUSD,D,20220907,000000,0.0162800,0.0164690,0.0159640,0.0159640,238
RUBUSD,D,20220908,000000,0.0159640,0.0164890,0.0159350,0.0164480,192
RUBUSD,D,20220909,000000,0.0166200,0.0166200,0.0163530,0.0164680,208
RUBUSD,D,20220911,000000,0.0166800,0.0166800,0.0164790,0.0164790,23
RUBUSD,D,20220912,000000,0.0160320,0.0166070,0.0160320,0.0165760,258
RUBUSD,D,20220913,000000,0.0165230,0.0167810,0.0161060,0.0161060,242
RUBUSD,D,20220914,000000,0.0161060,0.0167600,0.0160730,0.0167030,195
RUBUSD,D,20220915,000000,0.0166940,0.0167310,0.0163200,0.0167310,231
RUBUSD,D,20220916,000000,0.0167310,0.0167310,0.0162700,0.0165100,231
RUBUSD,D,20220918,000000,0.0164890,0.0164890,0.0164890,0.0164890,18
RUBUSD,D,20220919,000000,0.0165920,0.0166060,0.0161870,0.0166060,207
RUBUSD,D,20220920,000000,0.0166060,0.0166480,0.0160400,0.0160400,249
RUBUSD,D,20220921,000000,0.0162470,0.0164820,0.0159530,0.0163090,233
RUBUSD,D,20220922,000000,0.0165920,0.0167710,0.0162840,0.0166820,225
RUBUSD,D,20220923,000000,0.0169310,0.0175420,0.0165130,0.0172390,222
RUBUSD,D,20220925,000000,0.0174270,0.0174270,0.0172970,0.0173500,22
RUBUSD,D,20220926,000000,0.0173500,0.0174270,0.0169740,0.0170540,202
RUBUSD,D,20220927,000000,0.0171350,0.0171940,0.0166240,0.0169380,194
RUBUSD,D,20220928,000000,0.0172690,0.0172690,0.0168230,0.0172310,244
RUBUSD,D,20220929,000000,0.0173590,0.0174270,0.0169150,0.0173510,218
RUBUSD,D,20220930,000000,0.0173510,0.0175350,0.0161540,0.0165900,223
RUBUSD,D,20221002,000000,0.0167160,0.0167220,0.0165580,0.0165580,51
RUBUSD,D,20221003,000000,0.0165580,0.0173940,0.0165580,0.0171920,220
RUBUSD,D,20221004,000000,0.0171920,0.0171940,0.0165820,0.0168950,248
RUBUSD,D,20221005,000000,0.0168950,0.0171640,0.0162540,0.0164850,266
RUBUSD,D,20221006,000000,0.0165300,0.0165640,0.0159660,0.0162200,197
RUBUSD,D,20221007,000000,0.0164820,0.0164820,0.0159220,0.0160440,219
RUBUSD,D,20221009,000000,0.0159980,0.0159980,0.0159980,0.0159980,6
RUBUSD,D,20221010,000000,0.0162930,0.0162930,0.0155770,0.0157930,232
RUBUSD,D,20221011,000000,0.0157930,0.0157930,0.0152490,0.0154080,217
RUBUSD,D,20221012,000000,0.0156770,0.0156770,0.0151000,0.0151350,177
