<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20220711,000000,0.6844500,0.6846000,0.6711000,0.6736000,1935577
AUDUSD,D,20220712,000000,0.6740300,0.6778900,0.6707000,0.6745700,2213049
AUDUSD,D,20220713,000000,0.6745600,0.6803500,0.6722000,0.6732500,2705879
AUDUSD,D,20220714,000000,0.6731900,0.6788200,0.6678000,0.6756000,2820330
AUDUSD,D,20220715,000000,0.6755800,0.6806300,0.6716000,0.6788700,2075649
AUDUSD,D,20220717,000000,0.6789000,0.6814100,0.6783300,0.6812800,90871
AUDUSD,D,20220718,000000,0.6812200,0.6854400,0.6790000,0.6809300,1748740
AUDUSD,D,20220719,000000,0.6809100,0.6912400,0.6799000,0.6895200,1786345
AUDUSD,D,20220720,000000,0.6895100,0.6930200,0.6869000,0.6883800,1770567
AUDUSD,D,20220721,000000,0.6883700,0.6939000,0.6855000,0.6921700,2033721
AUDUSD,D,20220722,000000,0.6921700,0.6977400,0.6890000,0.6924000,1795124
AUDUSD,D,20220724,000000,0.6950000,0.6950000,0.6900000,0.6902000,84020
AUDUSD,D,20220725,000000,0.6903500,0.6965400,0.6874800,0.6949800,1786178
AUDUSD,D,20220726,000000,0.6949300,0.6983200,0.6918000,0.6945400,1649775
AUDUSD,D,20220727,000000,0.6945300,0.7012400,0.6909000,0.6993500,1839358
AUDUSD,D,20220728,000000,0.6993500,0.7013800,0.6951000,0.6997200,2050369
AUDUSD,D,20220729,000000,0.6997100,0.7031800,0.6907000,0.6984000,1900361
AUDUSD,D,20220731,000000,0.6991000,0.6991000,0.6961000,0.6970200,90855
AUDUSD,D,20220801,000000,0.6970400,0.7047000,0.6964000,0.7023900,1676884
AUDUSD,D,20220802,000000,0.7023400,0.7032100,0.6886000,0.6890000,2068804
AUDUSD,D,20220803,000000,0.6890200,0.6955800,0.6882000,0.6936300,1874652
AUDUSD,D,20220804,000000,0.6936800,0.6989800,0.6931000,0.6959500,1702597
AUDUSD,D,20220805,000000,0.6959600,0.6975000,0.6866000,0.6908000,1608328
AUDUSD,D,20220807,000000,0.6909000,0.6926000,0.6897000,0.6902700,83416
AUDUSD,D,20220808,000000,0.6902900,0.7009800,0.6894000,0.6988400,1412286
